Platform,Party,Bioguide ID,Number of Active Accounts,Max Total Followers,Start of Term,End of Term,First Post,Last Post,Total Posts,Average Post Favorites/Reactions,Average Post Retweets/Shares
facebook,D,Y000062,2,33589,1/1/2019,,1/1/2019,5/30/2020,285,376,49
facebook,R,Y000064,2,71077,1/1/2019,,1/3/2019,5/30/2020,1432,140,12
facebook,R,Y000065,2,28298,1/1/2019,,1/7/2019,5/29/2020,492,117,22
facebook,R,Z000017,2,55181,1/1/2019,,1/1/2019,5/31/2020,1074,395,67
twitter,R,A000055,1,29492,1/1/2019,,1/8/2019,5/30/2020,590,85,38
twitter,R,A000360,2,133668,1/1/2019,,1/2/2019,5/31/2020,2356,135,33
twitter,R,A000367,3,444875,1/1/2019,,1/1/2019,5/31/2020,2368,7506,1703
twitter,R,A000369,2,17779,1/1/2019,,1/3/2019,5/6/2020,108,34,10
twitter,D,A000370,2,23703,1/1/2019,,1/1/2019,5/31/2020,3196,68,16
twitter,D,A000371,2,16409,1/1/2019,,1/2/2019,5/29/2020,375,61,21
twitter,R,A000372,2,24953,1/1/2019,,1/1/2019,5/28/2020,622,128,40
twitter,R,A000374,2,34320,1/1/2019,,1/1/2019,5/27/2020,1505,166,66
twitter,R,A000375,2,18916,1/1/2019,,1/3/2019,5/31/2020,1147,258,89
twitter,D,A000376,2,40631,1/1/2019,,1/3/2019,5/31/2020,1873,85,18
twitter,R,A000377,2,18923,1/1/2019,,1/2/2019,5/31/2020,2025,254,92
twitter,D,A000378,2,26326,1/1/2019,,1/1/2019,5/30/2020,1283,35,6
twitter,D,B000490,1,21175,1/1/2019,,1/4/2019,5/29/2020,260,9,3
twitter,D,B000574,1,68376,1/1/2019,,1/1/2019,5/29/2020,866,225,52
twitter,R,B000575,2,125924,1/1/2019,,1/1/2019,5/29/2020,2219,83,23
twitter,R,B000755,2,60551,1/1/2019,,1/1/2019,5/31/2020,2737,172,65
twitter,D,B000944,2,519473,1/1/2019,,1/1/2019,5/31/2020,2194,967,288
twitter,R,B001135,1,178114,1/1/2019,,1/1/2019,5/1/2020,287,371,119
twitter,D,B001230,2,172230,1/1/2019,,1/1/2019,5/31/2020,2380,180,61
twitter,R,B001236,2,102174,1/1/2019,,1/1/2019,5/28/2020,1795,77,23
twitter,R,B001243,2,236005,1/1/2019,,1/1/2019,5/31/2020,3246,1590,613
twitter,R,B001248,1,31445,1/1/2019,,1/1/2019,5/31/2020,1264,54,25
twitter,D,B001251,1,21185,1/1/2019,,1/1/2019,5/29/2020,912,63,25
twitter,R,B001257,1,32025,1/1/2019,,1/2/2019,5/31/2020,571,16,7
twitter,R,B001260,1,30360,1/1/2019,,1/2/2019,5/30/2020,473,125,46
twitter,R,B001261,2,145670,1/1/2019,,1/3/2019,5/29/2020,871,676,211
twitter,D,B001267,2,349245,1/1/2019,,1/1/2019,5/30/2020,4658,345,82
twitter,D,B001270,2,128102,1/1/2019,,1/2/2019,5/31/2020,1218,980,287
twitter,R,B001274,2,40112,1/1/2019,,1/3/2019,5/31/2020,1433,118,51
twitter,R,B001275,2,25109,1/1/2019,,1/3/2019,5/30/2020,752,31,9
twitter,D,B001277,1,649150,1/1/2019,,1/1/2019,5/31/2020,2747,1159,394
twitter,D,B001278,1,30920,1/1/2019,,1/1/2019,5/31/2020,2820,25,7
twitter,D,B001281,2,51879,1/1/2019,,1/1/2019,5/31/2020,4352,88,28
twitter,R,B001282,2,28783,1/1/2019,,1/1/2019,5/31/2020,1156,60,23
twitter,R,B001284,2,27299,1/1/2019,,1/2/2019,5/30/2020,1342,28,9
twitter,D,B001285,2,23170,1/1/2019,,1/1/2019,5/29/2020,1835,41,11
twitter,D,B001286,2,46342,1/1/2019,,1/1/2019,5/30/2020,2782,48,15
twitter,D,B001287,2,41769,1/1/2019,,1/1/2019,5/30/2020,1343,48,12
twitter,D,B001288,2,4645382,1/1/2019,,1/1/2019,5/31/2020,4057,2726,463
twitter,R,B001289,2,58494,1/1/2019,,1/1/2019,5/30/2020,4723,150,53
twitter,R,B001291,3,17870,1/1/2019,,1/3/2019,5/31/2020,1410,53,21
twitter,D,B001292,2,91990,1/1/2019,,1/1/2019,5/31/2020,7898,532,180
twitter,R,B001295,2,14992,1/1/2019,,1/3/2019,5/31/2020,714,48,15
twitter,D,B001296,2,47827,1/1/2019,,1/1/2019,5/31/2020,2905,293,76
twitter,R,B001297,2,43684,1/1/2019,,1/8/2019,5/29/2020,751,431,149
twitter,R,B001298,2,18240,1/1/2019,,1/1/2019,5/31/2020,5061,33,11
twitter,R,B001299,2,38888,1/1/2019,,1/1/2019,5/31/2020,3702,219,122
twitter,D,B001300,2,33635,1/1/2019,,1/1/2019,5/31/2020,2054,125,49
twitter,R,B001301,2,9992,1/1/2019,,1/2/2019,5/29/2020,412,58,21
twitter,R,B001302,2,195051,1/1/2019,,1/1/2019,5/31/2020,8598,1346,529
twitter,D,B001303,2,18583,1/1/2019,,1/3/2019,5/31/2020,846,118,30
twitter,D,B001304,2,26065,1/1/2019,,1/1/2019,5/31/2020,1574,96,28
twitter,R,B001305,2,22174,1/1/2019,,1/1/2019,5/30/2020,1366,201,71
twitter,R,B001306,2,11946,1/1/2019,,1/4/2019,5/29/2020,1137,17,5
twitter,R,B001307,2,5650,1/1/2019,,1/3/2019,5/30/2020,383,11,3
twitter,D,B001308,2,22736,1/1/2019,,1/1/2019,5/31/2020,1985,26,5
twitter,R,B001309,2,53354,1/1/2019,,1/1/2019,5/31/2020,5608,102,14
twitter,R,B001310,2,34938,1/1/2019,,1/2/2019,5/29/2020,1443,349,117
twitter,R,B001311,1,16512,9/17/2019,,9/17/2019,5/31/2020,635,319,116
twitter,R,C000059,2,23908,1/1/2019,,1/3/2019,5/31/2020,1447,69,24
twitter,D,C000127,2,242341,1/1/2019,,1/2/2019,5/30/2020,1843,82,24
twitter,D,C000141,2,257261,1/1/2019,,1/1/2019,5/31/2020,1581,148,75
twitter,D,C000174,2,104684,1/1/2019,,1/2/2019,5/31/2020,2089,57,18
twitter,R,C000266,2,36648,1/1/2019,,2/14/2019,5/30/2020,1002,88,34
twitter,D,C000537,2,104169,1/1/2019,,1/3/2019,5/31/2020,1645,515,154
twitter,D,C000754,2,29427,1/1/2019,,1/3/2019,5/30/2020,1660,71,17
twitter,R,C000880,1,112140,1/1/2019,,1/1/2019,5/29/2020,1653,89,24
twitter,D,C000984,2,523278,1/1/2019,10/16/2019,1/2/2019,10/11/2019,940,6112,1584
twitter,R,C001035,2,554650,1/1/2019,,1/1/2019,5/31/2020,828,546,100
twitter,R,C001047,2,88723,1/1/2019,,1/1/2019,5/31/2020,2579,122,32
twitter,D,C001049,1,11533,1/1/2019,,1/1/2019,5/31/2020,7830,12,4
twitter,R,C001051,2,25885,1/1/2019,,1/1/2019,5/30/2020,1371,23,9
twitter,R,C001053,1,26789,1/1/2019,,1/9/2019,5/31/2020,630,79,28
twitter,D,C001055,2,5542,1/1/2019,,1/7/2019,5/30/2020,855,8,2
twitter,R,C001056,2,282573,1/1/2019,,1/1/2019,5/31/2020,8019,412,140
twitter,D,C001059,1,22244,1/1/2019,,1/2/2019,5/30/2020,664,17,5
twitter,D,C001061,2,47913,1/1/2019,,1/2/2019,5/31/2020,1932,85,28
twitter,R,C001062,1,25694,1/1/2019,,1/4/2019,5/8/2020,191,76,27
twitter,D,C001063,2,25794,1/1/2019,,1/3/2019,5/31/2020,924,16,5
twitter,D,C001066,2,23458,1/1/2019,,1/1/2019,5/31/2020,3575,22,7
twitter,D,C001067,2,74454,1/1/2019,,1/1/2019,5/31/2020,1657,68,20
twitter,D,C001068,2,74861,1/1/2019,,1/1/2019,5/31/2020,3470,361,123
twitter,D,C001069,2,25989,1/1/2019,,1/1/2019,5/31/2020,1368,18,6
twitter,D,C001070,2,428096,1/1/2019,,1/3/2019,5/31/2020,2830,501,142
twitter,D,C001072,2,53315,1/1/2019,,1/1/2019,5/30/2020,918,154,46
twitter,R,C001075,2,72331,1/1/2019,,1/1/2019,5/31/2020,2728,224,68
twitter,D,C001078,2,59932,1/1/2019,,1/1/2019,5/31/2020,1277,208,87
twitter,D,C001080,2,74496,1/1/2019,,1/2/2019,5/29/2020,1210,214,80
twitter,D,C001084,2,144305,1/1/2019,,1/1/2019,5/31/2020,5235,1577,376
twitter,R,C001087,2,30688,1/1/2019,,1/1/2019,5/30/2020,1786,114,44
twitter,D,C001088,1,161756,1/1/2019,,1/2/2019,5/31/2020,3274,175,49
twitter,D,C001090,2,17094,1/1/2019,,1/7/2019,5/29/2020,624,26,9
twitter,D,C001091,2,278099,1/1/2019,,1/1/2019,5/31/2020,11311,1658,383
twitter,R,C001092,2,20532,1/1/2019,9/30/2019,1/1/2019,9/24/2019,284,10,2
twitter,R,C001093,2,425382,1/1/2019,,1/1/2019,5/31/2020,1975,3938,1470
twitter,R,C001094,2,19048,1/1/2019,,1/11/2019,5/28/2020,58,26,10
twitter,R,C001095,2,364929,1/1/2019,,1/1/2019,5/30/2020,1923,1503,618
twitter,R,C001096,2,35971,1/1/2019,,1/3/2019,5/31/2020,2137,129,47
twitter,D,C001097,2,22699,1/1/2019,,1/3/2019,5/31/2020,1246,30,10
twitter,R,C001098,2,5272289,1/1/2019,,1/1/2019,5/31/2020,8601,4322,1235
twitter,D,C001101,2,84058,1/1/2019,,1/1/2019,5/31/2020,2572,228,66
twitter,R,C001103,3,35794,1/1/2019,,1/2/2019,5/31/2020,968,108,48
twitter,R,C001108,1,15463,1/1/2019,,1/3/2019,5/29/2020,271,115,24
twitter,R,C001109,2,196584,1/1/2019,,1/1/2019,5/30/2020,845,2949,913
twitter,D,C001110,1,10058,1/1/2019,,1/3/2019,5/20/2020,325,41,13
twitter,D,C001111,2,44976,1/1/2019,,1/2/2019,5/31/2020,1162,31,11
twitter,D,C001112,2,13474,1/1/2019,,1/1/2019,5/31/2020,1933,25,7
twitter,D,C001113,2,74274,1/1/2019,,1/1/2019,5/30/2020,3335,47,14
twitter,R,C001114,2,13076,1/1/2019,,1/1/2019,5/29/2020,1799,31,15
twitter,R,C001115,2,10030,1/1/2019,,1/11/2019,5/30/2020,351,208,74
twitter,D,C001117,2,46203,1/1/2019,,1/1/2019,5/31/2020,4620,240,53
twitter,R,C001118,2,20376,1/1/2019,,1/2/2019,5/31/2020,803,77,32
twitter,D,C001119,2,38831,1/1/2019,,1/1/2019,5/31/2020,2159,50,11
twitter,R,C001120,2,1530886,1/1/2019,,1/2/2019,5/31/2020,1990,12687,3239
twitter,D,C001121,2,61312,1/1/2019,,1/1/2019,5/30/2020,2013,163,42
twitter,D,C001122,2,63076,1/1/2019,,1/1/2019,5/29/2020,1938,280,75
twitter,D,C001123,2,25402,1/1/2019,,1/1/2019,5/31/2020,2539,32,10
twitter,D,C001124,2,14553,1/1/2019,,1/1/2019,5/31/2020,1658,29,8
twitter,D,D000096,1,14764,1/1/2019,,1/1/2019,5/31/2020,1415,18,7
twitter,D,D000191,2,36400,1/1/2019,,1/2/2019,5/31/2020,753,99,32
twitter,D,D000197,2,54388,1/1/2019,,1/1/2019,5/31/2020,1471,160,60
twitter,D,D000216,2,47952,1/1/2019,,1/2/2019,5/30/2020,1296,43,12
twitter,D,D000399,2,38351,1/1/2019,,1/1/2019,5/31/2020,3998,37,13
twitter,D,D000482,2,20982,1/1/2019,,1/1/2019,5/31/2020,1370,18,6
twitter,D,D000563,2,681777,1/1/2019,,1/1/2019,5/31/2020,5653,393,134
twitter,D,D000598,1,23610,1/1/2019,,1/3/2019,5/31/2020,386,42,11
twitter,R,D000600,2,62747,1/1/2019,,1/1/2019,5/31/2020,2098,228,137
twitter,D,D000610,1,69320,1/1/2019,,1/2/2019,5/31/2020,2763,345,106
twitter,R,D000614,2,61120,1/1/2019,9/22/2019,1/1/2019,9/20/2019,1218,168,45
twitter,R,D000615,2,64918,1/1/2019,,1/1/2019,5/30/2020,2135,186,59
twitter,R,D000616,2,21181,1/1/2019,,1/3/2019,5/31/2020,1573,58,27
twitter,D,D000617,2,31575,1/1/2019,,1/1/2019,5/30/2020,1981,26,6
twitter,R,D000618,2,64629,1/1/2019,,1/1/2019,5/30/2020,1153,387,96
twitter,R,D000619,2,26580,1/1/2019,,1/1/2019,5/29/2020,1378,26,8
twitter,D,D000622,2,620064,1/1/2019,,1/1/2019,5/31/2020,3080,952,253
twitter,D,D000623,2,18165,1/1/2019,,1/2/2019,5/30/2020,2748,28,7
twitter,D,D000624,2,109698,1/1/2019,,1/3/2019,5/31/2020,2123,493,105
twitter,R,D000626,1,20687,1/1/2019,,1/2/2019,5/31/2020,1601,110,38
twitter,D,D000627,2,148219,1/1/2019,,1/1/2019,5/31/2020,4859,1147,340
twitter,R,D000628,2,10266,1/1/2019,,1/3/2019,5/30/2020,646,25,8
twitter,D,D000629,2,182097,1/1/2019,,1/2/2019,5/29/2020,1513,482,91
twitter,D,D000630,2,42962,1/1/2019,,1/1/2019,5/30/2020,4212,62,11
twitter,D,D000631,2,42563,1/1/2019,,1/2/2019,5/29/2020,2014,544,121
twitter,D,E000179,1,51923,1/1/2019,,1/1/2019,5/30/2020,1592,172,65
twitter,D,E000215,2,47638,1/1/2019,,1/11/2019,5/30/2020,396,49,12
twitter,R,E000285,1,102615,1/1/2019,,1/7/2019,5/30/2020,532,50,15
twitter,R,E000294,2,24114,1/1/2019,,1/2/2019,5/31/2020,1126,22,4
twitter,R,E000295,3,143283,1/1/2019,,1/1/2019,5/31/2020,3435,208,56
twitter,D,E000296,2,20319,1/1/2019,,1/1/2019,5/31/2020,8341,44,18
twitter,D,E000297,3,32516,1/1/2019,,1/1/2019,5/31/2020,3836,47,17
twitter,R,E000298,2,7520,1/1/2019,,1/1/2019,5/30/2020,897,51,15
twitter,D,E000299,2,100043,1/1/2019,,1/1/2019,5/31/2020,4949,328,92
twitter,D,F000062,1,1432611,1/1/2019,,1/1/2019,5/31/2020,2072,1452,430
twitter,R,F000449,1,23146,1/1/2019,,1/3/2019,5/30/2020,505,25,9
twitter,R,F000450,2,28637,1/1/2019,,1/3/2019,5/31/2020,916,168,61
twitter,D,F000454,2,44872,1/1/2019,,1/3/2019,5/31/2020,1633,39,10
twitter,D,F000455,2,49352,1/1/2019,,1/1/2019,5/31/2020,1240,58,25
twitter,R,F000459,2,21303,1/1/2019,,1/1/2019,5/31/2020,1425,83,29
twitter,R,F000461,2,24893,1/1/2019,,1/1/2019,5/31/2020,4511,18,8
twitter,D,F000462,2,33087,1/1/2019,,1/1/2019,5/31/2020,1708,61,15
twitter,R,F000463,2,100503,1/1/2019,,1/1/2019,5/31/2020,1387,164,46
twitter,R,F000465,2,9674,1/1/2019,,1/2/2019,5/29/2020,483,45,14
twitter,R,F000466,2,16537,1/1/2019,,1/3/2019,5/31/2020,1114,23,4
twitter,D,F000467,2,36582,1/1/2019,,1/2/2019,5/30/2020,1144,200,32
twitter,D,F000468,2,30694,1/1/2019,,1/3/2019,5/31/2020,1528,38,8
twitter,R,F000469,2,7765,1/1/2019,,1/4/2019,5/30/2020,704,73,30
twitter,R,G000061,1,47910,5/19/2020,,5/19/2020,5/25/2020,3,9095,1871
twitter,R,G000359,1,1659038,1/1/2019,,1/1/2019,5/30/2020,2267,9095,2255
twitter,R,G000377,1,24770,1/1/2019,,1/4/2019,5/31/2020,642,46,15
twitter,R,G000386,3,614186,1/1/2019,,1/1/2019,5/31/2020,4083,756,246
twitter,R,G000546,1,14783,1/1/2019,,1/2/2019,5/29/2020,1167,55,23
twitter,D,G000551,2,41973,1/1/2019,,1/1/2019,5/31/2020,1974,86,40
twitter,R,G000552,1,322936,1/1/2019,,1/2/2019,5/30/2020,1075,829,282
twitter,D,G000553,2,77871,1/1/2019,,1/1/2019,5/31/2020,638,1127,338
twitter,D,G000555,2,1532737,1/1/2019,,1/3/2019,5/30/2020,3132,1658,303
twitter,R,G000558,2,23876,1/1/2019,,1/15/2019,5/28/2020,210,23,7
twitter,D,G000559,2,34863,1/1/2019,,1/1/2019,5/29/2020,1784,20,7
twitter,R,G000560,2,26104,1/1/2019,,1/1/2019,5/30/2020,752,35,13
twitter,R,G000562,2,166058,1/1/2019,,1/1/2019,5/30/2020,1508,262,117
twitter,R,G000563,2,39291,1/1/2019,,1/3/2019,5/29/2020,432,51,28
twitter,R,G000565,1,114720,1/1/2019,,1/3/2019,5/30/2020,3298,1087,393
twitter,R,G000568,2,33388,1/1/2019,,1/7/2019,5/31/2020,372,77,43
twitter,D,G000571,2,1069080,1/1/2019,,1/1/2019,5/28/2020,2671,3670,844
twitter,D,G000574,2,130157,1/1/2019,,1/1/2019,5/30/2020,4510,343,78
twitter,R,G000576,2,10719,1/1/2019,,1/2/2019,5/29/2020,1429,21,10
twitter,R,G000577,2,18962,1/1/2019,,1/7/2019,5/30/2020,794,13,3
twitter,R,G000578,2,1274871,1/1/2019,,1/1/2019,5/31/2020,6703,5291,1715
twitter,R,G000579,2,26359,1/1/2019,,1/2/2019,5/29/2020,1503,117,65
twitter,D,G000581,2,6847,1/1/2019,,1/3/2019,5/29/2020,910,29,8
twitter,D,G000583,2,18641,1/1/2019,,1/1/2019,5/31/2020,3407,11,2
twitter,R,G000584,2,,1/1/2019,,6/14/2019,7/10/2019,14,38,9
twitter,D,G000585,2,29878,1/1/2019,,1/1/2019,5/31/2020,3677,49,14
twitter,D,G000586,2,26276,1/1/2019,,1/1/2019,5/31/2020,2938,51,13
twitter,D,G000587,2,64431,1/1/2019,,1/1/2019,5/31/2020,3971,225,70
twitter,R,G000588,2,16598,1/1/2019,,1/1/2019,5/31/2020,1309,85,26
twitter,R,G000589,2,12250,1/1/2019,,1/10/2019,5/31/2020,1008,251,98
twitter,R,G000590,2,51625,1/1/2019,,1/1/2019,5/30/2020,1962,566,220
twitter,R,G000591,2,7491,1/1/2019,,1/1/2019,5/31/2020,810,58,15
twitter,D,G000592,2,16457,1/1/2019,,1/3/2019,5/28/2020,702,33,8
twitter,D,H000324,2,28179,1/1/2019,,1/1/2019,5/31/2020,1467,17,7
twitter,D,H000874,2,135789,1/1/2019,,1/1/2019,5/31/2020,4080,67,26
twitter,D,H001038,2,25585,1/1/2019,,1/3/2019,5/31/2020,1674,14,5
twitter,D,H001042,2,454166,1/1/2019,,1/3/2019,5/30/2020,702,3566,1064
twitter,D,H001046,2,200777,1/1/2019,,1/1/2019,5/30/2020,1494,193,59
twitter,D,H001047,1,110961,1/1/2019,,1/1/2019,5/31/2020,1640,705,172
twitter,R,H001048,2,19667,1/1/2019,1/12/2020,1/3/2019,1/7/2020,315,71,24
twitter,R,H001052,1,19782,1/1/2019,,1/1/2019,5/25/2020,276,301,176
twitter,R,H001053,1,30958,1/1/2019,,1/1/2019,5/30/2020,1007,250,102
twitter,R,H001056,2,24626,1/1/2019,,1/1/2019,5/28/2020,744,20,5
twitter,R,H001058,2,26023,1/1/2019,,1/1/2019,5/30/2020,1668,44,14
twitter,R,H001061,1,105625,1/1/2019,,1/3/2019,5/29/2020,919,97,23
twitter,D,H001064,2,41333,1/1/2019,,1/2/2019,5/30/2020,873,164,41
twitter,R,H001065,2,18422,1/1/2019,,1/1/2019,5/4/2020,181,98,52
twitter,D,H001066,2,23235,1/1/2019,,1/1/2019,5/31/2020,2518,21,7
twitter,R,H001067,2,23961,1/1/2019,,1/1/2019,5/29/2020,1246,71,22
twitter,D,H001068,2,47164,1/1/2019,,1/1/2019,5/31/2020,5575,101,23
twitter,R,H001071,2,68061,1/1/2019,,1/2/2019,5/31/2020,1794,665,246
twitter,R,H001072,2,22280,1/1/2019,,1/1/2019,5/31/2020,1612,56,33
twitter,R,H001073,1,70372,1/1/2019,,1/2/2019,5/31/2020,687,568,179
twitter,R,H001074,1,11797,1/1/2019,,1/8/2019,5/26/2020,376,23,7
twitter,D,H001075,2,4973516,1/1/2019,,1/1/2019,5/31/2020,6250,10278,2262
twitter,D,H001076,2,160441,1/1/2019,,1/2/2019,5/30/2020,2209,43,16
twitter,R,H001077,2,14325,1/1/2019,,1/3/2019,5/27/2020,447,109,41
twitter,R,H001079,2,31667,1/1/2019,,1/3/2019,5/31/2020,1607,88,28
twitter,D,H001080,2,162841,1/1/2019,,1/1/2019,5/31/2020,4887,320,71
twitter,D,H001081,2,73802,1/1/2019,,1/1/2019,5/31/2020,2183,91,19
twitter,R,H001082,2,6410,1/1/2019,,1/2/2019,5/29/2020,463,92,38
twitter,D,H001083,2,24371,1/1/2019,,1/2/2019,5/31/2020,965,101,14
twitter,D,H001085,2,41049,1/1/2019,,1/1/2019,5/29/2020,1576,71,17
twitter,D,H001087,2,161919,1/1/2019,11/2/2019,1/1/2019,11/2/2019,2224,854,198
twitter,R,H001088,2,8100,1/1/2019,,1/5/2019,5/30/2020,1052,17,6
twitter,R,H001089,2,215194,1/1/2019,,1/1/2019,5/31/2020,3197,1585,723
twitter,D,H001090,2,32717,1/1/2019,,1/2/2019,5/31/2020,1984,102,32
twitter,R,I000024,2,83321,1/1/2019,,1/1/2019,5/30/2020,1375,318,98
twitter,R,I000055,1,70253,1/1/2019,12/30/2019,1/1/2019,12/29/2019,1118,79,25
twitter,D,J000032,1,89610,1/1/2019,,1/4/2019,5/31/2020,3924,110,35
twitter,D,J000126,1,34478,1/1/2019,,1/3/2019,5/27/2020,441,52,14
twitter,R,J000255,1,24332,1/1/2019,2/9/2019,1/1/2019,2/5/2019,8,42,11
twitter,D,J000288,2,48407,1/1/2019,,1/1/2019,5/31/2020,1637,88,28
twitter,R,J000289,1,1380944,1/1/2019,,1/1/2019,5/29/2020,1257,27400,9545
twitter,R,J000292,2,45279,1/1/2019,,1/1/2019,5/31/2020,1084,69,26
twitter,R,J000293,2,142317,1/1/2019,,1/1/2019,5/29/2020,1023,366,127
twitter,D,J000294,2,265308,1/1/2019,,1/1/2019,5/31/2020,915,4528,1244
twitter,R,J000295,2,25042,1/1/2019,,1/1/2019,5/31/2020,1055,21,7
twitter,D,J000298,2,368534,1/1/2019,,1/1/2019,5/31/2020,8520,697,166
twitter,R,J000299,2,65665,1/1/2019,,1/4/2019,5/30/2020,1844,757,255
twitter,D,J000300,2,268683,1/1/2019,,1/4/2019,5/31/2020,1191,1383,314
twitter,R,J000301,2,12512,1/1/2019,,1/1/2019,5/30/2020,972,141,42
twitter,R,J000302,2,10494,1/1/2019,,1/3/2019,5/30/2020,929,147,51
twitter,D,K000009,2,24799,1/1/2019,,1/3/2019,5/29/2020,785,43,12
twitter,D,K000188,2,21171,1/1/2019,,1/3/2019,5/27/2020,345,14,3
twitter,R,K000210,2,40983,1/1/2019,,1/6/2019,5/31/2020,471,765,209
twitter,R,K000362,1,122999,1/1/2019,,1/1/2019,5/28/2020,510,636,245
twitter,D,K000367,2,1117581,1/1/2019,,1/1/2019,5/31/2020,4219,3682,697
twitter,D,K000368,2,16986,1/1/2019,,1/1/2019,5/31/2020,2083,30,10
twitter,D,K000375,2,21987,1/1/2019,,1/1/2019,5/30/2020,255,52,17
twitter,R,K000376,2,24284,1/1/2019,,1/1/2019,5/31/2020,543,1299,428
twitter,R,K000378,2,79651,1/1/2019,,1/1/2019,5/31/2020,654,1226,300
twitter,D,K000379,2,894097,1/1/2019,,1/2/2019,5/31/2020,3074,2539,687
twitter,D,K000380,2,49352,1/1/2019,,1/1/2019,5/31/2020,1240,266,64
twitter,D,K000381,2,29268,1/1/2019,,1/1/2019,5/30/2020,2052,22,4
twitter,D,K000382,2,28385,1/1/2019,,1/1/2019,5/29/2020,1729,49,11
twitter,D,K000383,1,225488,1/1/2019,,1/3/2019,5/29/2020,998,287,78
twitter,D,K000384,1,989931,1/1/2019,,1/4/2019,5/30/2020,703,1834,440
twitter,D,K000385,2,36305,1/1/2019,,1/1/2019,5/31/2020,3001,27,10
twitter,R,K000386,1,18317,1/1/2019,,1/3/2019,5/31/2020,549,16,4
